Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
October 08, 2024 - 16:28:18
Django version 4.1, using settings 'hr_service_v2.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CTRL-BREAK.
[08/Oct/2024 16:28:23] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:27] "GET / HTTP/1.1" 200 3063
[08/Oct/2024 16:28:28] "POST / HTTP/1.1" 302 0
[08/Oct/2024 16:28:28] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:31] "GET /logout/ HTTP/1.1" 302 0
[08/Oct/2024 16:28:31] "GET / HTTP/1.1" 200 3063
[08/Oct/2024 16:28:32] "POST / HTTP/1.1" 302 0
[08/Oct/2024 16:28:32] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:33] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:34] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:35] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:35] "GET /freehome/ HTTP/1.1" 200 12774
[08/Oct/2024 16:28:36] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:28:39] "GET / HTTP/1.1" 200 3063
[08/Oct/2024 16:28:43] "GET /logout/ HTTP/1.1" 302 0
[08/Oct/2024 16:28:43] "GET / HTTP/1.1" 200 3063
[08/Oct/2024 16:28:48] "GET /freehome/ HTTP/1.1" 200 11999
[08/Oct/2024 16:28:48] "GET /static/img/undraw_profile.svg HTTP/1.1" 200 2820
[08/Oct/2024 16:28:53] "GET /self_home HTTP/1.1" 302 0
[08/Oct/2024 16:28:53] "GET /accounts/login/?next=/self_home HTTP/1.1" 200 2558
Not Found: /favicon.ico
[08/Oct/2024 16:28:53] "GET /favicon.ico HTTP/1.1" 404 6057
[08/Oct/2024 16:29:00] "GET /self_home HTTP/1.1" 302 0
[08/Oct/2024 16:29:00] "GET /accounts/login/?next=/self_home HTTP/1.1" 200 2558
[08/Oct/2024 16:29:06] "POST / HTTP/1.1" 302 0
[08/Oct/2024 16:29:06] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:29:08] "GET /freehome/ HTTP/1.1" 200 12774
[08/Oct/2024 16:31:31] "GET /freehome/ HTTP/1.1" 200 12774
[08/Oct/2024 16:31:34] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:31:35] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:32:02] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:32:09] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:32:10] "GET /self_home HTTP/1.1" 200 26803
[08/Oct/2024 16:32:10] "GET /static/libs/bootstrap-touchspin/jquery.bootstrap-touchspin.min.css HTTP/1.1" 200 444
[08/Oct/2024 16:32:10] "GET /static/images/trendmecca-favicon-32x32.png HTTP/1.1" 200 5782
[08/Oct/2024 16:32:10] "GET /static/images/trendmecca_logo_main.png HTTP/1.1" 200 10064
[08/Oct/2024 16:32:10] "GET /static/libs/jquery/jquery.min.js HTTP/1.1" 200 89501
[08/Oct/2024 16:32:10] "GET /static/css/app.min.css HTTP/1.1" 200 101189
[08/Oct/2024 16:32:10] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 259559
[08/Oct/2024 16:32:10] "GET /static/css/icons.min.css HTTP/1.1" 200 512161
[08/Oct/2024 16:32:10] "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 124752
[08/Oct/2024 16:32:10] "GET /static/libs/node-waves/waves.min.js HTTP/1.1" 200 10077
[08/Oct/2024 16:32:10] "GET /static/libs/metismenu/metisMenu.min.js HTTP/1.1" 200 8279
[08/Oct/2024 16:32:10] "GET /static/libs/bootstrap-touchspin/jquery.bootstrap-touchspin.min.js HTTP/1.1" 200 11284
[08/Oct/2024 16:32:10] "GET /static/libs/simplebar/simplebar.min.js HTTP/1.1" 200 46363
[08/Oct/2024 16:32:10] "GET /static/js/pages/ecommerce-cart.init.js HTTP/1.1" 200 138
[08/Oct/2024 16:32:10] "GET /static/js/app.js HTTP/1.1" 200 18334
[08/Oct/2024 16:32:10] "GET /static/fonts/inter-medium.woff2?v=3.13 HTTP/1.1" 200 106484
